Aerobee
T,Thrust,ThrustPc
0,0,0
0.02,0,0
0.04,0,0.001
0.06,0,0.001
0.08,0,0.002
0.1,0,0.003
0.12,0,0.004
0.14,0,0.005
0.16,0,0.007
0.18,0,0.009
0.2,0,0.012
0.22,0,0.014
0.24,0,0.018
0.26,0,0.022
0.28,0,0.028
0.3,0,0.034
0.32,0,0.042
0.34,0,0.051
0.36,0,0.063
0.38,0.01,0.077
0.4,0.01,0.093
0.42,0.01,0.114
0.44,0.01,0.139
0.46,0.01,0.168
0.48,0.01,0.205
0.5,0.02,0.249
0.52,0.02,0.302
0.54,0.02,0.367
0.56,0.03,0.445
0.58,0.04,0.54
0.6,0.04,0.656
0.62,0.05,0.795
0.64,0.06,0.965
0.66,0.08,1.17
0.68,0.43,6.399
0.7,0.78,11.607
0.72,1.12,16.764
0.74,1.46,21.845
0.76,1.79,26.823
0.78,2.12,31.673
0.8,2.43,36.375
0.82,2.73,40.909
0.84,3.02,45.261
0.86,3.3,49.416
0.88,3.57,53.367
0.9,3.82,57.105
0.92,4.05,60.629
0.94,4.27,63.936
0.96,4.48,67.029
0.98,4.67,69.912
1,4.85,72.589
1.02,5.02,75.068
1.04,5.17,77.358
1.06,5.31,79.466
1.08,5.44,81.403
1.1,5.56,83.179
1.12,5.67,84.804
1.14,5.77,86.287
1.16,5.86,87.64
1.18,5.94,88.871
1.2,6.01,89.99
1.22,6.08,91.007
1.24,6.14,91.929
1.26,6.2,92.764
1.28,6.25,93.521
1.3,6.3,94.205
1.32,6.34,94.823
1.34,6.37,95.381
1.36,6.41,95.885
1.38,6.44,96.339
1.4,6.47,96.747
1.42,6.49,97.115
1.44,6.51,97.445
1.46,6.53,97.741
1.48,6.55,98.006
1.5,6.57,98.243
1.52,6.58,98.454
1.54,6.59,98.642
1.56,6.6,98.81
1.58,6.61,98.957
RD-100 Series (Early)
T,Thrust,ThrustPc
0,0,0
0.02,0,0
0.04,0,0.001
0.06,0,0.001
